Date,HINDUNILVR,EIHAHOTELS,M&M,ITC,MARICO,L&T,JSWSTEEL,ADANIPORTS,BOSCHLTD,DLF
01-Sep-2020,"2,161.65",127.13,607.55,190.2,373.5,955.2,286.8,348.8,12392.55,160.9
02-Sep-2020,"2,141.65",126.33,642.75,191.35,378.9,955.55,293,359.9,12953.5,161.1
3-Sep-2020,"2,139.15",125.4,644.65,191.6,379.35,961.15,293.4,366,13064.25,158.65
4-Sep-2020,"2,124.65",122.65,632,186.7,373.85,942.5,282.35,353,12856.35,154.85
7-Sep-2020,"2,162.60",121.8,610.45,189.1,370.1,932.15,286.5,352.05,13065.7,152.15
8-Sep-2020,"2,142.25",121.3,608.6,188.15,367.35,916.7,281.15,345.6,12774.45,150.25
9-Sep-2020,"2,132.25",118.18,613.9,183.8,364,909.5,286.85,343.85,"12,778",150
10-Sep-2020,"2,133.90",120.35,615.45,184.9,363.3,920.95,285.35,341.6,"12,951",150
11-Sep-2020,"2,159.25",121.88,614.25,183.95,366.7,917.4,287.8,342.5,"12,872",154
14-Sep-2020,"2,123.50",122.78,615.3,183.35,370.55,902.1,289.85,351.65,12853.55,155.7
15-Sep-2020,"2,124.45",121.95,613.45,181.8,364.5,909.95,289.6,352.65,13081.55,155.55
16-Sep-2020,"2,143.50",121.35,639.45,180.65,364.35,921.8,288.65,353.55,13137.3,163.35
17-Sep-2020,"2,128.20",121.4,636.8,178.6,361.65,906.3,286.85,346.1,12963.25,156.85
18-Sep-2020,"2,098.70",119.05,654.15,179.1,362.5,900.7,287.7,357.85,"13,071",161
21-Sep-2020,"2,037.80",116.23,622.45,175.75,350.3,881.85,271.3,347.85,"12,926",152
22-Sep-2020,"2,026.80",114.03,615.8,174.2,346.15,856.5,271.9,332.3,12395.6,148.95
23-Sep-2020,"2,052.55",114.65,612.6,172.5,340.3,860.6,268.2,324.6,12749.45,150.45
24-Sep-2020,"2,060.90",112.9,575.1,166.55,342.6,850.7,258.55,313.75,"12,391",146
25-Sep-2020,"2,079.05",112.58,592.3,170.75,353.5,889.25,268.35,326.15,12930.05,151.35
28-Sep-2020,"2,063.30",118.55,615.25,173.3,360.65,902.85,277,339.55,13490.8,157.7
29-Sep-2020,"2,033.20",119,613.2,169.4,356.4,895.45,284.1,341,13645.7,154.85
30-Sep-2020,"2,068.25",118.75,607.9,171.7,363,901.6,277.75,341.75,13730.05,152.65
01-Oct-2020,"2,095.00",120.95,610.15,170.85,361.9,902.8,282.05,353.3,13551.5,155.9
5-Oct-2020,"2,111.05",120.6,607,169.25,376.9,896.95,290.1,350.35,13400.15,159.25
6-Oct-2020,"2,115.90",121.23,627.4,169.9,368.8,892.6,291.35,362.9,"13,292",163
7-Oct-2020,"2,139.35",119.5,631.6,169.5,369,887.9,291.45,360.65,"13,223",159
8-Oct-2020,"2,160.80",119.68,634.15,167.15,371.65,881.05,292.95,359.75,"12,842",160
9-Oct-2020,"2,139.65",118.73,633.2,167.85,369.35,908.45,292,357.2,"12,738",157
12-Oct-2020,"2,138.40",115.83,634.4,172.2,367.05,905.75,285.15,357.65,"12,529",156
13-Oct-2020,"2,138.20",114.23,627.9,170.15,367.35,896.45,289.95,349.9,12159.25,155.1
14-Oct-2020,"2,158.15",114.08,623.85,167.8,361.6,915.2,290.65,348.95,"12,075",159
15-Oct-2020,"2,152.55",112.73,617.3,165.05,362.85,888.8,291.55,342.8,"11,857",155
16-Oct-2020,"2,150.55",113.8,606.65,165.7,362.5,894.1,311.05,349.95,"11,959",163
19-Oct-2020,"2,177.80",113.63,597.45,168.25,364.5,902.9,313.5,347.55,11903.65,164.7
20-Oct-2020,"2,173.10",109.18,602.25,167.45,367.35,917.3,318.7,348.95,11895.5,167.45
21-Oct-2020,"2,163.15",110.53,600.85,167.65,360.35,924.45,322.95,355.35,"11,749",172
22-Oct-2020,"2,179.35",110.78,604.35,168.55,356.7,936.3,325.5,358.35,11811.7,172.5
23-Oct-2020,"2,143.85",115.6,625.15,170.75,358.6,941.25,321.25,364.35,"12,213",171
26-Oct-2020,"2,166.75",115.1,597.15,168.55,349.85,951.75,308.3,363.7,11841.35,166.2
27-Oct-2020,"2,176.70",115.25,597.15,167.2,356.5,981.95,308.95,364.4,"11,943",165
28-Oct-2020,"2,164.35",113.88,604.15,165.5,363,982.85,305.85,353.65,"11,807",156
29-Oct-2020,"2,122.10",113.35,591.95,163.85,362.25,934.5,306.8,342.7,"11,777",153
30-Oct-2020,"2,071.30",114.2,594,165.25,356.65,929.5,309,359.85,"11,610",158
02-Nov-2020,"2,072.00",113.1,596.05,166.75,366.85,929.3,309.35,356.9,"11,570",165
03-Nov-2020,"2,055.70",113.3,595.8,170.1,370.9,947.75,314.75,353.65,11820.8,163.65
4-Nov-2020,"2,060.05",113.4,596.8,169.8,371.4,939.85,317.85,361.1,"11,803",163
5-Nov-2020,"2,102.35",114.08,602.1,174.75,374.75,958.1,327.7,368.65,12003.5,165.8
6-Nov-2020,"2,094.15",114.53,613.6,173.95,380.5,960.75,326.45,371.1,11862.75,167.9
9-Nov-2020,"2,132.55",114.6,616.35,172.8,380.45,965.85,333.1,367.05,11699.05,172.8
10-Nov-2020,"2,136.60",123.35,619.95,178.35,369.5,"1,033.70",334.8,366.75,12000.1,180.5
11-Nov-2020,"2,131.15",117.68,633.2,185.3,375.5,"1,059.45",342.75,371.6,"12,239",183
12-Nov-2020,"2,192.10",119.95,632.7,188,374.3,"1,073.20",338,368.05,11895.2,182.65
13-Nov-2020,"2,185.35",119.03,629.85,187.1,369.3,"1,051.50",343.2,365.5,11738.3,184.65
17-Nov-2020,"2,177.60",128.5,637.25,187.35,379.05,"1,080.90",340.95,379.65,11621.15,188.35
18-Nov-2020,"2,132.10",126.75,705.75,184.05,377.25,"1,148.15",342.6,391.1,"11,502",191
19-Nov-2020,"2,130.75",127.25,703.9,187.9,367.35,"1,134.25",331.2,381.9,"11,928",185
